episode,seed,success,endReason,steps,transitionStep,stepsToLift,holdSteps,holdNeeded,pulses,maxPulseN,contacts,distinctFingers,thumb,palm,forearm,mass,perturbScale,mu,maxPenMm,gripTorqueMean,retShaping,retPhase,retHold,retBonus,retDrop,lenMean,lenIndex,lenMiddle,lenRing,lenPinky,lenThumb,kFingerMean,zetaMean,inertiaScaleMean,activeGroups,mask,handSpanRatio,dtMs,pulseStep1,pulseStep2,pulseStep3,lastPulseStep,pulseActiveAtDrop,head_mode
91,6091,1,success,582,67,83,500,500,3,13.82,7,3,1,1,0,1.046,1.00,1.00,4.53,5.121,0.8380,0.10,0.200,1.00,0.00,0.985,1.045,1.031,0.941,1.076,0.833,2.027,0.717,0.965,14,11111111111111,1.018,10.0,482,25,20,482,0,deterministic
92,6092,1,success,575,65,76,500,500,3,8.75,5,3,1,1,0,0.596,1.00,1.00,2.28,2.041,0.8796,0.10,0.200,1.00,0.00,0.922,0.971,0.909,0.915,0.901,0.913,1.330,0.613,1.321,11,10111111100111,0.989,10.0,475,39,26,475,0,deterministic
93,6093,1,success,592,84,93,500,500,3,18.91,5,3,1,1,0,1.374,1.00,1.00,2.81,1.102,0.9156,0.10,0.200,1.00,0.00,1.073,1.049,0.952,1.144,1.194,1.025,1.127,0.559,1.286,13,10111111111111,1.019,10.0,159,157,55,159,0,deterministic
94,6094,1,success,621,99,122,500,500,3,9.07,5,4,1,0,0,0.691,1.00,1.00,1.89,0.290,0.8887,0.10,0.200,1.00,0.00,0.976,0.848,0.964,1.061,1.173,0.835,2.146,0.588,1.293,9,11010110111001,0.940,10.0,281,298,79,298,0,deterministic
95,6095,1,success,581,73,82,500,500,3,6.53,6,3,1,1,0,0.477,1.00,1.00,2.27,2.036,0.9032,0.10,0.200,1.00,0.00,0.985,0.974,0.958,1.105,1.002,0.887,1.436,0.611,1.264,12,11011111111011,0.990,10.0,335,419,259,419,0,deterministic
96,6096,1,success,580,75,81,500,500,3,15.24,7,4,1,1,0,1.043,1.00,1.00,3.00,4.945,0.9118,0.10,0.200,1.00,0.00,1.074,1.163,0.951,1.184,1.077,0.997,1.929,0.679,1.101,14,11111111111111,1.065,10.0,488,111,230,488,0,deterministic
97,6097,1,success,592,76,93,500,500,3,7.18,4,3,1,1,0,0.602,1.00,1.00,3.05,0.318,0.8418,0.10,0.200,1.00,0.00,1.002,0.852,0.898,1.183,1.102,0.977,1.447,0.656,1.275,10,11011111010101,0.941,10.0,392,487,190,487,0,deterministic
98,6098,1,success,589,80,90,500,500,3,3.51,3,1,1,1,0,0.250,1.00,1.00,2.37,0.877,0.9007,0.10,0.200,1.00,0.00,0.950,0.922,0.834,1.191,0.894,0.911,1.149,0.624,1.162,11,11111101100111,0.969,10.0,129,193,36,193,0,deterministic
99,6099,1,success,584,77,85,500,500,3,9.91,5,2,1,1,0,0.795,1.00,1.00,1.81,1.162,0.8432,0.10,0.200,1.00,0.00,0.909,0.961,1.085,0.842,0.839,0.816,0.904,0.598,1.283,11,11110101101111,0.984,10.0,248,297,111,297,0,deterministic
100,6100,1,success,575,69,76,500,500,3,11.28,7,3,1,1,0,1.256,1.00,1.00,2.87,1.908,0.8613,0.10,0.200,1.00,0.00,0.913,1.087,0.804,0.901,0.944,0.828,1.207,0.711,1.260,11,11110111110110,1.035,10.0,264,54,248,264,0,deterministic
DONE
